SLICE:  PR, (P0+PL1101)/2, I

Learning rate:       1
Number of steps:     5000
Number of decimals:  2

WIRINGS  | Sum of errors
------------------------
W_1      | 4.0
W_2      | 6.0
W_3      | 12.0
W_4      | 3.0
W_5      | 1.0
W_6      | 5.5
W_7      | 6.0
W_8      | 5.999999940395355
W_9      | 5.999999940395355
W_10     | 1.0
W_11     | 4.0
W_12     | 4.5
W_13     | 5.024399996735156
W_14     | 1.0
W_15     | 5.5
W_16     | 1.0
W_17     | 2.0
W_18     | 5.0
W_19     | 5.5
W_20     | 6.0
W_21     | 5.999999940395355
W_22     | 5.0
W_23     | 12.000000238418579
W_24     | 12.0
W_25     | 7.0
W_26     | 6.0
W_27     | 12.0
W_28     | 3.0
W_29     | 15.5
W_30     | 15.5
W_31     | 5.5
W_32     | 15.5
W_33     | 15.5
W_34     | 5.5
W_35     | 12.5
W_36     | 4.5
W_37     | 4.5
W_38     | 12.5
W_39     | 4.5
W_40     | 12.5
W_41     | 12.5
W_42     | 4.5
W_43     | 9.0
W_44     | 2.0
W_45     | 6.0
W_46     | 13.0
W_47     | 13.0
W_48     | 6.0
W_49     | 9.0
W_50     | 13.0
W_51     | 13.000000238418579
W_52     | 9.0
W_53     | 5.0
W_54     | 2.0
W_55     | 6.0
W_56     | 3.0
W_57     | 11.0
W_58     | 11.000000238418579
W_59     | 3.0
W_60     | 11.0
W_61     | 3.0
W_62     | 3.0
W_63     | 11.0
W_64     | 6.0
W_65     | 3.0
W_66     | 4.0
W_67     | 7.0
W_68     | 6.0
W_69     | 3.0
W_70     | 4.0
W_71     | 7.0
W_72     | 3.0
W_73     | 11.000000238418579
W_74     | 11.0
W_75     | 3.0
W_76     | 11.0
W_77     | 3.0
W_78     | 3.0
W_79     | 11.0
W_80     | 5.0
W_81     | 4.0
