SLICE:  PR, P0, I

Learning rate:       1
Number of steps:     5000
Number of decimals:  2

WIRINGS  | Sum of errors
------------------------
W_1      | 2.5
W_2      | 4.839999973773956
W_3      | 14.179999828338623
W_4      | 6.840000033378601
W_5      | 4.840000033378601
W_6      | 5.5
W_7      | 5.839999973773956
W_8      | 4.839999973773956
W_9      | 4.839999973773956
W_10     | 4.840000033378601
W_11     | 4.840000033378601
W_12     | 6.840000033378601
W_13     | 11.852199972607195
W_14     | 0.8400000333786011
W_15     | 15.840000033378601
W_16     | 4.840000033378601
W_17     | 0.5
W_18     | 4.5
W_19     | 5.5
W_20     | 5.839999973773956
W_21     | 4.839999973773956
W_22     | 4.5
W_23     | 13.179999828338623
W_24     | 14.180000305175781
W_25     | 14.180000305175781
W_26     | 13.180000305175781
W_27     | 14.180000305175781
W_28     | 6.5
W_29     | 15.520000457763672
W_30     | 15.520000457763672
W_31     | 4.5
W_32     | 15.519999742507935
W_33     | 15.519999742507935
W_34     | 4.5
W_35     | 14.180000305175781
W_36     | 7.5
W_37     | 7.5
W_38     | 14.180000305175781
W_39     | 6.5
W_40     | 14.179999828338623
W_41     | 14.179999828338623
W_42     | 6.5
W_43     | 15.520000457763672
W_44     | 4.5
W_45     | 15.520000457763672
W_46     | 14.519999742507935
W_47     | 15.520000457763672
W_48     | 15.520000457763672
W_49     | 14.520000457763672
W_50     | 15.520000457763672
W_51     | 15.519999742507935
W_52     | 14.180000305175781
W_53     | 6.5
W_54     | 6.5
W_55     | 14.180000305175781
W_56     | 6.5
W_57     | 14.179999828338623
W_58     | 14.179999828338623
W_59     | 6.5
W_60     | 14.180000305175781
W_61     | 7.5
W_62     | 7.5
W_63     | 14.180000305175781
W_64     | 14.180000305175781
W_65     | 6.5
W_66     | 6.5
W_67     | 14.180000305175781
W_68     | 14.180000305175781
W_69     | 6.5
W_70     | 6.5
W_71     | 14.180000305175781
W_72     | 6.5
W_73     | 14.179999828338623
W_74     | 14.179999828338623
W_75     | 6.5
W_76     | 14.180000305175781
W_77     | 7.5
W_78     | 7.5
W_79     | 14.180000305175781
W_80     | 11.839999973773956
W_81     | 4.840000033378601
