SLICE:  PR  PR'  I  

Learning rate:       1
Number of steps:     5000
Number of decimals:  2

WIRINGS  | Sum of errors
------------------------
W_1      | 4.9999998807907104
W_2      | 5.999999940395355
W_3      | 8.999999761581421
W_4      | 5.999999821186066
W_5      | 5.999999821186066
W_6      | 5.0
W_7      | 6.0
W_8      | 5.999999821186066
W_9      | 5.999999701976776
W_10     | 5.999999940395355
W_11     | 5.999999761581421
W_12     | 5.999999821186066
W_13     | 6.024400115944445
W_14     | 5.999999761581421
W_15     | 5.999999821186066
W_16     | 5.999999821186066
W_17     | 4.9999998807907104
W_18     | 4.9999998807907104
W_19     | 5.0
W_20     | 6.0
W_21     | 5.999999821186066
W_22     | 4.9999998807907104
W_23     | 8.999999761581421
W_24     | 4.9999998807907104
W_25     | 8.999999761581421
W_26     | 8.999999761581421
W_27     | 4.9999998807907104
W_28     | 4.9999998807907104
W_29     | 5.0000001192092896
W_30     | 5.0000001192092896
W_31     | 4.999999940395355
W_32     | 9.000000178813934
W_33     | 9.000000178813934
W_34     | 4.999999940395355
W_35     | 5.0000001192092896
W_36     | 5.0
W_37     | 5.0
W_38     | 5.0000001192092896
W_39     | 4.999999940395355
W_40     | 9.000000178813934
W_41     | 9.000000178813934
W_42     | 4.999999940395355
W_43     | 8.999999701976776
W_44     | 4.9999998807907104
W_45     | 8.999999701976776
W_46     | 8.999999761581421
W_47     | 4.9999998807907104
W_48     | 8.999999761581421
W_49     | 8.999999761581421
W_50     | 4.9999998807907104
W_51     | 8.999999761581421
W_52     | 9.0
W_53     | 5.0
W_54     | 5.0
W_55     | 9.0
W_56     | 5.0
W_57     | 9.0
W_58     | 9.0
W_59     | 5.0
W_60     | 4.9999998807907104
W_61     | 4.9999998807907104
W_62     | 4.9999998807907104
W_63     | 4.9999998807907104
W_64     | 8.999999701976776
W_65     | 4.9999998807907104
W_66     | 4.9999998807907104
W_67     | 8.999999701976776
W_68     | 9.0
W_69     | 5.0
W_70     | 5.0
W_71     | 9.0
W_72     | 5.0
W_73     | 9.0
W_74     | 9.0
W_75     | 5.0
W_76     | 4.9999998807907104
W_77     | 4.9999998807907104
W_78     | 4.9999998807907104
W_79     | 4.9999998807907104
W_80     | 5.999999940395355
W_81     | 5.999999821186066
