SLICE:  PR  P0  P1  

Learning rate:       1
Number of steps:     5000
Number of decimals:  2

WIRINGS  | Sum of errors
------------------------
W_1      | 0.0
W_2      | 18.09999942779541
W_3      | 36.0
W_4      | 20.09999942779541
W_5      | 18.09999942779541
W_6      | 22.0
W_7      | 22.0
W_8      | 18.09999942779541
W_9      | 0.0
W_10     | 14.069999694824219
W_11     | 0.0
W_12     | 16.06999969482422
W_13     | 27.062199712730944
W_14     | 0.0
W_15     | 34.0
W_16     | 18.09999942779541
W_17     | 0.0
W_18     | 18.09999942779541
W_19     | 22.0
W_20     | 22.0
W_21     | 18.09999942779541
W_22     | 0.0
W_23     | 36.0
W_24     | 44.0
W_25     | 36.0
W_26     | 36.0
W_27     | 44.0
W_28     | 0.0
W_29     | 50.0
W_30     | 50.0
W_31     | 18.09999942779541
W_32     | 50.0
W_33     | 50.0
W_34     | 18.09999942779541
W_35     | 50.0
W_36     | 22.0
W_37     | 22.0
W_38     | 50.0
W_39     | 18.09999942779541
W_40     | 50.0
W_41     | 50.0
W_42     | 18.09999942779541
W_43     | 50.0
W_44     | 18.09999942779541
W_45     | 50.0
W_46     | 36.0
W_47     | 44.0
W_48     | 36.0
W_49     | 36.0
W_50     | 44.0
W_51     | 36.0
W_52     | 52.0
W_53     | 20.09999942779541
W_54     | 20.09999942779541
W_55     | 52.0
W_56     | 20.09999942779541
W_57     | 52.0
W_58     | 52.0
W_59     | 20.09999942779541
W_60     | 52.0
W_61     | 24.0
W_62     | 24.0
W_63     | 52.0
W_64     | 50.0
W_65     | 18.09999942779541
W_66     | 18.09999942779541
W_67     | 50.0
W_68     | 52.0
W_69     | 20.09999942779541
W_70     | 20.09999942779541
W_71     | 52.0
W_72     | 20.09999942779541
W_73     | 52.0
W_74     | 52.0
W_75     | 20.09999942779541
W_76     | 52.0
W_77     | 24.0
W_78     | 24.0
W_79     | 52.0
W_80     | 27.049999713897705
W_81     | 18.09999942779541

Min value: 0.0  atteined at W_1
